Test_No, Unit_Id, Variation, Status, Time_Taken(ms), Remarks
136, 7, jki, Passed!,  79.000 ms
137, 7, kij, Passed!,  63.000 ms
138, 7, kji, Passed!,  70.000 ms

139, 8, ijk, Passed!,  110.000 ms
140, 8, ikj, Passed!,  101.000 ms
141, 8, jik, Passed!,  103.000 ms
142, 8, jki, Passed!,  113.000 ms
143, 8, kij, Passed!,  100.000 ms
144, 8, kji, Passed!,  111.000 ms

145, 9, ijk, Passed!,  110.000 ms
146, 9, ikj, Passed!,  125.000 ms
147, 9, jik, Passed!,  115.000 ms
148, 9, jki, Passed!,  140.000 ms
149, 9, kij, Passed!,  135.000 ms
150, 9, kji, Passed!,  125.000 ms

